author_name
Gabriel García Márquez
Isabel Allende
Jorge Luis Borges
Julio Cortázar
Mario Vargas Llosa
Miguel de Cervantes
Federico García Lorca
Benito Pérez Galdós
Emilia Pardo Bazán
Rosalía de Castro
Mercè Rodoreda
Carmen Laforet
Camilo José Cela
Arturo Pérez-Reverte
Almudena Grandes
Carlos Ruiz Zafón
Juan Gómez-Jurado
José Saramago
Fernando Pessoa
Pablo Neruda
Gabriela Mistral
Roberto Bolaño
Laura Esquivel
Elena Poniatowska
Octavio Paz
Juan Rulfo
Carlos Fuentes
Rosario Castellanos
Ángeles Mastretta
Valeria Luiselli
Mariana Enríquez
Samanta Schweblin
César Aira
Silvina Ocampo
Adolfo Bioy Casares
Manuel Puig
Clarice Lispector
Jorge Amado
Machado de Assis
Paulo Coelho
Lygia Fagundes Telles
Graciliano Ramos
Érico Veríssimo
João Guimarães Rosa
José de Alencar
Eça de Queirós
Camilo Castelo Branco
António Lobo Antunes
Lídia Jorge
Mia Couto
Pepetela
Luandino Vieira
José Eduardo Agualusa
Ana María Matute
Miguel Delibes
Antonio Muñoz Molina
Javier Marías
Enrique Vila-Matas
Manuel Vázquez Montalbán
Eduardo Mendoza
Rosa Montero
Elvira Lindo
Carmen Martín Gaite
Luis Mateo Díez
Juan Marsé
Max Aub
Ramón María del Valle-Inclán
Pío Baroja
Azorín
Leopoldo Alas Clarín
Gustavo Adolfo Bécquer
Francisco de Quevedo
Lope de Vega
Calderón de la Barca
Tirso de Molina
Sor Juana Inés de la Cruz
Inca Garcilaso de la Vega
José Martí
Rubén Darío
Alfonsina Storni
Alejandra Pizarnik
Idea Vilariño
Mario Benedetti
Eduardo Galeano
Juan Carlos Onetti
Horacio Quiroga
José Hernández
Domingo Faustino Sarmiento
Ricardo Güiraldes
José Donoso
Diamela Eltit
Nicanor Parra
Vicente Huidobro
Roberto Arlt
Ernesto Sabato
Manuel Rivas
Suso de Toro
Bernardo Atxaga
Kirmen Uribe
Ildefonso Falcones
J. K. Rowling
Robert Galbraith
George Orwell
Mary Shelley
Jane Austen
Charles Dickens
Virginia Woolf
Agatha Christie
Stephen King
J. R. R. Tolkien
C. S. Lewis
Lewis Carroll
Charles Lutwidge Dodgson
Mark Twain
Samuel Clemens
William Shakespeare
Geoffrey Chaucer
John Milton
Daniel Defoe
Jonathan Swift
Laurence Sterne
Samuel Johnson
Ann Radcliffe
Walter Scott
Mary Wollstonecraft
William Blake
William Wordsworth
Samuel Taylor Coleridge
Lord Byron
Percy Bysshe Shelley
John Keats
Elizabeth Barrett Browning
Robert Browning
Christina Rossetti
George Eliot
Mary Ann Evans
Thomas Hardy
Oscar Wilde
Bram Stoker
Arthur Conan Doyle
H. G. Wells
Joseph Conrad
Henry James
Edith Wharton
Willa Cather
Jack London
Herman Melville
Nathaniel Hawthorne
Edgar Allan Poe
Louisa May Alcott
Harriet Beecher Stowe
Emily Dickinson
Walt Whitman
Henry David Thoreau
Ralph Waldo Emerson
L. M. Montgomery
Frances Hodgson Burnett
Rudyard Kipling
E. M. Forster
D. H. Lawrence
James Joyce
W. B. Yeats
T. S. Eliot
F. Scott Fitzgerald
Ernest Hemingway
William Faulkner
John Steinbeck
Zora Neale Hurston
Langston Hughes
Richard Wright
Ralph Ellison
James Baldwin
Flannery O'Connor
Shirley Jackson
Sylvia Plath
Harper Lee
J. D. Salinger
Kurt Vonnegut
Ray Bradbury
Ursula K. Le Guin
Philip K. Dick
Isaac Asimov
Arthur C. Clarke
Frank Herbert
Octavia E. Butler
Toni Morrison
Alice Walker
Maya Angelou
Joan Didion
Margaret Atwood
Alice Munro
Michael Ondaatje
Salman Rushdie
Kazuo Ishiguro
Ian McEwan
Hilary Mantel
Zadie Smith
Martin Amis
Julian Barnes
Jeanette Winterson
A. S. Byatt
Doris Lessing
Nadine Gordimer
J. M. Coetzee
Chinua Achebe
Ngũgĩ wa Thiong'o
Wole Soyinka
Chimamanda Ngozi Adichie
Ben Okri
Buchi Emecheta
Tsitsi Dangarembga
Yaa Gyasi
Ta-Nehisi Coates
Colson Whitehead
Cormac McCarthy
Don DeLillo
Thomas Pynchon
David Foster Wallace
Jonathan Franzen
Donna Tartt
Fyodor Dostoevsky
Leo Tolstoy
Anton Chekhov
Franz Kafka
Albert Camus
Victor Hugo
Alexandre Dumas
Émile Zola
Gustave Flaubert
Honoré de Balzac
Stendhal
Marcel Proust
Jules Verne
Guy de Maupassant
Molière
Jean Racine
Pierre Corneille
Voltaire
Jean-Jacques Rousseau
Denis Diderot
Simone de Beauvoir
Jean-Paul Sartre
Marguerite Duras
Annie Ernaux
Patrick Modiano
Michel Houellebecq
Colette
Romain Gary
Émile Ajar
Milan Kundera
Bohumil Hrabal
Jaroslav Hašek
Karel Čapek
Rainer Maria Rilke
Johann Wolfgang von Goethe
Friedrich Schiller
Heinrich Heine
Thomas Mann
Heinrich Mann
Hermann Hesse
Günter Grass
W. G. Sebald
Christa Wolf
Elfriede Jelinek
Stefan Zweig
Arthur Schnitzler
Robert Musil
Joseph Roth
Peter Handke
Ingeborg Bachmann
Herta Müller
